      apsza    band      o3      aod    dif1                dif2                dif3                dif4                dif5                dif6 
      16.0     345.0     0.0     0.0    0.1881025099E+04   -0.1746034768E+04    0.1431637862E+03   -0.1775503234E+04   -0.1636282699E+02   -0.1216398535E+03
      16.0     350.0     0.0     0.0    0.2118754603E+04   -0.1980007076E+04    0.1535628035E+03   -0.2012650812E+04   -0.1489822628E+02   -0.1255537662E+03
      16.0     355.0     0.0     0.0    0.2310519943E+04   -0.2165822451E+04    0.1662125808E+03   -0.2202013002E+04   -0.1359338862E+02   -0.1319012543E+03
      16.0     360.0     0.0     0.0    0.2295360087E+04   -0.2166782912E+04    0.1532797830E+03   -0.2200957998E+04   -0.1028769889E+02   -0.1180541355E+03
      16.0     365.0     0.0     0.0    0.3337181504E+04   -0.3174647858E+04    0.2003774969E+03   -0.3220242929E+04   -0.1083839665E+02   -0.1503689131E+03
      16.0     370.0     0.0     0.0    0.4032120721E+04   -0.3868368134E+04    0.2077888648E+03   -0.3916450996E+04   -0.8836951366E+01   -0.1528546564E+03
      16.0     375.0     0.0     0.0    0.4234118195E+04   -0.4086676662E+04    0.1925184980E+03   -0.4131959183E+04   -0.6041583877E+01   -0.1388821145E+03
      16.0     380.0     0.0     0.0    0.4902523250E+04   -0.4738032513E+04    0.2203368172E+03   -0.4790638191E+04   -0.4800818360E+01   -0.1561172085E+03
      16.0     385.0     0.0     0.0    0.4075339769E+04   -0.3946435710E+04    0.1771905615E+03   -0.3989335026E+04   -0.2099425618E+01   -0.1235481655E+03
      16.0     390.0     0.0     0.0    0.5428627087E+04   -0.5263580553E+04    0.2318636885E+03   -0.5320330795E+04   -0.7661556390E+00   -0.1597519084E+03
      16.0     395.0     0.0     0.0    0.5033118391E+04   -0.4907141752E+04    0.1806878885E+03   -0.4951833627E+04    0.8445975880E+00   -0.1231199716E+03
      16.0     400.0     0.0     0.0    0.9917203292E+04   -0.9691242944E+04    0.3303694402E+03   -0.9773609962E+04    0.4090995748E+01   -0.2234667390E+03
      16.0     450.0     0.0     0.0    0.1666359471E+05   -0.1642183464E+05    0.3978095828E+03   -0.1652779432E+05    0.2567058525E+02   -0.2609215438E+03
      16.0     550.0     0.0     0.0    0.1774770825E+05   -0.1754317417E+05    0.3886345532E+03   -0.1765622477E+05    0.4687898325E+02   -0.2444491053E+03
      16.0     650.0     0.0     0.0    0.1590849245E+05   -0.1575398390E+05    0.3110652278E+03   -0.1584999524E+05    0.4737634596E+02   -0.1947910662E+03
      16.0     750.0     0.0     0.0    0.1241114049E+05   -0.1230156381E+05    0.2281629900E+03   -0.1237586387E+05    0.4008204546E+02   -0.1415565952E+03
      24.0     290.0     0.0     0.0    0.2021929307E+01   -0.1981500945E+01    0.2335908600E-01   -0.1980276640E+01   -0.7803200000E-02   -0.5258314900E-01
      24.0     295.0     0.0     0.0    0.2937422826E+02   -0.2830478464E+02    0.6741087160E+00   -0.2831560280E+02   -0.2159852040E+00   -0.1254125226E+01
      24.0     300.0     0.0     0.0    0.8208762149E+02   -0.7516307517E+02    0.4688196452E+01   -0.7546036626E+02   -0.1433637896E+01   -0.7422622417E+01
      24.0     305.0     0.0     0.0    0.4505095568E+02   -0.1823488114E+02    0.1929857065E+02   -0.2006507203E+02   -0.5589695859E+01   -0.2689513044E+02
      24.0     310.0     0.0     0.0   -0.3446432672E+03    0.3936526786E+03    0.3752444832E+02    0.3892270368E+03   -0.1005296880E+02   -0.4690080947E+02
      24.0     315.0     0.0     0.0   -0.8724270003E+03    0.9440951324E+03    0.5824841766E+02    0.9362689844E+03   -0.1416141032E+02   -0.6668989266E+02
      24.0     320.0     0.0     0.0   -0.1529199711E+04    0.1617722118E+04    0.7643326877E+02    0.1606435488E+04   -0.1651587351E+02   -0.8106493673E+02
      24.0     325.0     0.0     0.0   -0.2117080654E+04    0.2227008563E+04    0.1008664631E+03    0.2210994936E+04   -0.1900841117E+02   -0.9988842995E+02
      24.0     330.0     0.0     0.0   -0.3278019739E+04    0.3413815058E+04    0.1313581808E+03    0.3391842678E+04   -0.2147592976E+02   -0.1235672257E+03
      24.0     335.0     0.0     0.0   -0.2965091148E+04    0.3089221081E+04    0.1263575645E+03    0.3067077308E+04   -0.1770544329E+02   -0.1133001373E+03
      24.0     340.0     0.0     0.0   -0.3707372314E+04    0.3843861316E+04    0.1460373569E+03    0.3817281488E+04   -0.1722191328E+02   -0.1254984603E+03
      24.0     345.0     0.0     0.0   -0.3646758883E+04    0.3778335856E+04    0.1470983825E+03    0.3750702100E+04   -0.1453482366E+02   -0.1220596527E+03
      24.0     350.0     0.0     0.0   -0.4131251263E+04    0.4266937927E+04    0.1580636074E+03    0.4236406448E+04   -0.1285040053E+02   -0.1271157830E+03
      24.0     355.0     0.0     0.0   -0.4657185893E+04    0.4798997591E+04    0.1712779776E+03    0.4765133309E+04   -0.1131113096E+02   -0.1342415747E+03
      24.0     360.0     0.0     0.0   -0.4295928423E+04    0.4422230445E+04    0.1581564269E+03    0.4390202789E+04   -0.8115035103E+01   -0.1208022632E+03
      24.0     365.0     0.0     0.0   -0.6155568252E+04    0.6315515772E+04    0.2070115790E+03    0.6272687702E+04   -0.7933772954E+01   -0.1544640118E+03
      24.0     370.0     0.0     0.0   -0.5834446916E+04    0.5995801771E+04    0.2150849988E+03    0.5950501289E+04   -0.5776211884E+01   -0.1573473068E+03
      24.0     375.0     0.0     0.0   -0.5666900311E+04    0.5812398310E+04    0.1995047230E+03    0.5769618919E+04   -0.3152452726E+01   -0.1433617078E+03
      24.0     380.0     0.0     0.0   -0.6511200708E+04    0.6673803489E+04    0.2285908868E+03    0.6624052542E+04   -0.1462345235E+01   -0.1617041045E+03
      24.0     385.0     0.0     0.0   -0.4957675192E+04    0.5085240348E+04    0.1840536131E+03    0.5044510328E+04    0.6246230880E+00   -0.1281356939E+03
      24.0     390.0     0.0     0.0   -0.6712627372E+04    0.6876073606E+04    0.2412246257E+03    0.6821941629E+04    0.2831301320E+01   -0.1656603008E+03
      24.0     395.0     0.0     0.0   -0.5473639885E+04    0.5598523290E+04    0.1880991434E+03    0.5555755392E+04    0.3668823211E+01   -0.1277665837E+03
      24.0     400.0     0.0     0.0   -0.1009991060E+05    0.1032388558E+05    0.3443941996E+03    0.1024455523E+05    0.9255708665E+01   -0.2310897560E+03
      24.0     450.0     0.0     0.0   -0.1224617197E+05    0.1248255235E+05    0.4198348218E+03    0.1237588861E+05    0.3282474136E+02   -0.2616740686E+03
      24.0     550.0     0.0     0.0   -0.1283346630E+05    0.1303581596E+05    0.4159127860E+03    0.1291767561E+05    0.5324624699E+02   -0.2415912436E+03
      24.0     650.0     0.0     0.0   -0.1031896139E+05    0.1047054226E+05    0.3364985893E+03    0.1036685663E+05    0.5260062264E+02   -0.1857924497E+03
      24.0     750.0     0.0     0.0   -0.8023126955E+04    0.8129809954E+04    0.2489213861E+03    0.8047811067E+04    0.4406962670E+02   -0.1310453245E+03
